periodo,periodo_fecha,categoria_ramo,prima_neta,var_pct_mom
2024-05,2024-05-01,Manejo / Riesgos Financieros,325607144.0,-36.5591825300058
2024-05,2024-05-01,Otros,2799242212.0,408.0099502098479
2024-05,2024-05-01,PYME / Multiriesgo,3814681051.480034,9.096560983039126
2024-05,2024-05-01,Responsabilidad Civil,1379221651.6399999,36.724974966371285
2024-05,2024-05-01,SOAT,1948178700.0,-51.56064231559072
2024-05,2024-05-01,Salud,4249438693.0,-2.109450288352055
2024-05,2024-05-01,Transporte / Navegación,222659711.0,-18.512921393109096
2024-05,2024-05-01,Vida,10905643968.591204,7.272866493228869
2024-06,2024-06-01,Accidentes Personales,114111249.0,-50.729963162684996
2024-06,2024-06-01,Asistencias,457022555.0,49.364170620958745
2024-06,2024-06-01,Autos,54460954341.0,4.99130756811117
2024-06,2024-06-01,Cumplimiento,4471479775.999999,-46.71093360035826
2024-06,2024-06-01,Daños Materiales,7979626416.899999,3.2853650712716176
2024-06,2024-06-01,Exequias,428642836.0,45.06431216409681
2024-06,2024-06-01,Hogar,5475320256.0,-14.066136935807172
2024-06,2024-06-01,Ingeniería,754944297.0,227.12293948797364
2024-06,2024-06-01,Manejo / Riesgos Financieros,329014952.8,1.0466013608104507
2024-06,2024-06-01,Otros,1353094497.8300002,-51.6621144097694
2024-06,2024-06-01,PYME / Multiriesgo,3525289886.700023,-7.5862479949072466
2024-06,2024-06-01,Responsabilidad Civil,690763955.3,-49.91639273653884
2024-06,2024-06-01,SOAT,2199144100.0,12.882052349715156
2024-06,2024-06-01,Salud,4398462001.0,3.506893939792155
2024-06,2024-06-01,Transporte / Navegación,278734501.0,25.184075622913205
2024-06,2024-06-01,Vida,10863293367.171835,-0.38833654886717417
2024-07,2024-07-01,Accidentes Personales,624610334.0,447.3696410070842
2024-07,2024-07-01,Asistencias,327886443.0,-28.255960365019618
2024-07,2024-07-01,Autos,56862944745.0,4.4104816617062115
2024-07,2024-07-01,Cumplimiento,1439078986.0,-67.81649346321453
2024-07,2024-07-01,Daños Materiales,8930960956.769997,11.922043591604403
2024-07,2024-07-01,Exequias,474290582.0,10.649366364308023
2024-07,2024-07-01,Hogar,5575868952.0,1.8363984442702819
2024-07,2024-07-01,Ingeniería,46018648.0,-93.90436510576092
2024-07,2024-07-01,Manejo / Riesgos Financieros,1918637103.0,483.1458681959332
2024-07,2024-07-01,Otros,424367088.0,-68.63729113668182
2024-07,2024-07-01,PYME / Multiriesgo,2951853942.860003,-16.266348648474004
2024-07,2024-07-01,Responsabilidad Civil,1264430346.53,83.0481073640931
2024-07,2024-07-01,SOAT,2867868200.0,30.408380242113275
2024-07,2024-07-01,Salud,4631310270.0,5.293856555929355
2024-07,2024-07-01,Transporte / Navegación,395398526.0,41.85489222950554
2024-07,2024-07-01,Vida,10266691494.092299,-5.4919061182903235
2024-08,2024-08-01,Accidentes Personales,1173579909.0,87.88992834691076
2024-08,2024-08-01,Asistencias,196453021.0,-40.085043101339814
2024-08,2024-08-01,Autos,55221175708.0,-2.8872388589132325
2024-08,2024-08-01,Cumplimiento,13187755700.0,816.4024927259969
2024-08,2024-08-01,Daños Materiales,6892213090.890001,-22.827866740751446
2024-08,2024-08-01,Exequias,454396966.0,-4.194394060306261
2024-08,2024-08-01,Hogar,7171780145.0,28.621748587322248
2024-08,2024-08-01,Ingeniería,541750637.0,1077.2415326065207
2024-08,2024-08-01,Manejo / Riesgos Financieros,654239050.8,-65.90084441830999
2024-08,2024-08-01,Otros,927945679.0,118.665797899954
2024-08,2024-08-01,PYME / Multiriesgo,3723389285.380041,26.137314293149274
2024-08,2024-08-01,Responsabilidad Civil,644883129.87,-48.99812934419322
2024-08,2024-08-01,SOAT,2817394200.0,-1.759983251671049
2024-08,2024-08-01,Salud,3898535021.0,-15.82220162934581
2024-08,2024-08-01,Transporte / Navegación,396316910.0,0.2322679371849823
2024-08,2024-08-01,Vida,10690631372.721111,4.129274546456929
2024-09,2024-09-01,Accidentes Personales,254357760.0,-78.32633653240224
2024-09,2024-09-01,Asistencias,269209868.0,37.035239585345956
2024-09,2024-09-01,Autos,57112061963.0,3.4242049915754746
2024-09,2024-09-01,Cumplimiento,2314224827.000001,-82.4517159731735
2024-09,2024-09-01,Daños Materiales,6497488543.109992,-5.7271088774337064
2024-09,2024-09-01,Exequias,378640166.0,-16.671942303417573
2024-09,2024-09-01,Hogar,5565922956.0,-22.391333205042073
2024-09,2024-09-01,Ingeniería,200189719.0,-63.047626467304
2024-09,2024-09-01,Manejo / Riesgos Financieros,111241336.0,-82.99683642179801
2024-09,2024-09-01,Otros,2584203987.0,178.48655858658296
2024-09,2024-09-01,PYME / Multiriesgo,2795657094.8799944,-24.916336149507778
2024-09,2024-09-01,Responsabilidad Civil,524376273.99999994,-18.68661937152747
2024-09,2024-09-01,SOAT,2670218200.0,-5.223834137232197
2024-09,2024-09-01,Salud,3922384855.0,0.6117640054925655
2024-09,2024-09-01,Transporte / Navegación,245874232.0,-37.96019655078558
2024-09,2024-09-01,Vida,11521868923.991407,7.775383158298155
2024-10,2024-10-01,Accidentes Personales,-32865581.0,-112.92100583052785
2024-10,2024-10-01,Asistencias,292089278.0,8.49872635426574
2024-10,2024-10-01,Autos,62305475338.0,9.093373967769791
2024-10,2024-10-01,Cumplimiento,10447676312.0,351.4546810710538
2024-10,2024-10-01,Daños Materiales,6887704441.7299595,6.005641965059816
2024-10,2024-10-01,Exequias,355143014.0,-6.205668101254746
2024-10,2024-10-01,Hogar,5470888699.0,-1.7074303354766007
2024-10,2024-10-01,Ingeniería,86686892.0,-56.69763041128002
2024-10,2024-10-01,Manejo / Riesgos Financieros,257151196.0,131.16514530174288
2024-10,2024-10-01,Otros,489116975.0,-81.07281865284112
2024-10,2024-10-01,PYME / Multiriesgo,2679675647.4900293,-4.148629229327694
2024-10,2024-10-01,Responsabilidad Civil,9672693000.229998,1744.609201412877
2024-10,2024-10-01,SOAT,3214496100.0,20.383274295711118
2024-10,2024-10-01,Salud,4155211251.0,5.935837624480111
2024-10,2024-10-01,Transporte / Navegación,271151838.0,10.280705625142538
2024-10,2024-10-01,Vida,11152591706.709257,-3.205011441444394
